title|time|content
Police impound Rome marina|29/07/2015|Assets of €400 million seized at port in OstiaRome’s provincial finance police have impounded assets at Ostia’s Porto Turistico di Roma marina, including yachts, car parks, offices and shops worth a total of around €400 million, as well as making several arrests.The four people arrested include the port’s president, well-known entrepreneur Mauro Balini, and three of his associates including lawyer Sergio Capograssi, all of whom face charges of fraud, money laundering and use of unlawfully obtained money, assets or profits.The arrests follow a investigation into an alleged criminal organisation, headed by Balini, operating out of the Porto Turistico di Roma in the seaside suburb of Ostia.The port was built in 2001 on a 22-hectare site with 840 berths but under the administration of former mayor Gianni Alemanno it received permission to expand to 1,419 berths capable of hosting larger yachts.
Tourist caught carving initials on Colosseum|13/07/2015|Latest act of vandalism by tourists at Rome monument.A Lebanese tourist was caught defacing a pillar at Rome’s Colosseum on the afternoon of 11 July, according to the Italian newspaper Corriere della Sera.The 22-year-old, who used a coin to scratch the initials “H.A.” onto the pillar, was caught in the act by security guards who handed him over to police.It is the latest in a string of similar incidents involving tourists damaging the ancient amphitheatre. Last November a 42-year-old Russian tourist was fined €20,000 for using a stone to engrave a 25-cm-tall letter “K” on an internal Colosseum wall.Previous cases involved a 45-year-old Australian man and his 12-year-old son scrawling on the monument in January 2014, and in May last year a Brazilian teenager was also caught carving his name.In March 2014 a Canadian teenager was apprehended while trying to leave the Colosseum with a brick from the monument in her backpack.The 45-year-old Australian was arrested on charges of vandalism but the minors evaded fines due to their age.
New wave of arrests in Rome mafia probe|10/06/2015|Rome mayor refuses to resign.Police arrested five people on 9 June as part of an ever-widening investigation into a mafia syndicate allegedly operating within Rome’s city administration.The five, most of whom are under house arrest, include the head of the technical office of Rome’s sovrintendenza ai beni culturali, which manages the capital’s archaeological sites, and legal representatives of three companies involved in the restoration of the city assembly hall where the city council convenes.The Giulio Cesare hall was inaugurated in September 2010 by then-mayor Gianni Alemanno, who is among the more than 100 public officials and business figures being investigated as part of the so-called Mafia Capitale case.Another 20 people were placed under investigation on 9 June on suspicion of crimes including bid-rigging, racketeering, aggravated fraud, issuing false invoices, and tax evasion.The cultural heritage official, Maurizio Anastasi, under house arrest is suspected of having given preferential treatment to businessman Fabrizio Amore, who is also under investigation for tax fraud, to win the €2.5 million restoration contract.Marino, who has so far refused calls from opposition parties and groups for his resignation, is supported by Italian premier Matteo Renzi who said recently that the current mayor could not be held responsible for a corrupt system which was already well-established by the time Marino took office two years ago.The Mafia Capitale investigation began in December 2014 and centres mainly on the embezzlement of funds destined for emergency housing for immigrants and camps for Roma people, but also includes other sectors such as waste management, recycling and parks maintenance.The case has seen dozens of public officials, business people and politicians from all sides of the political spectrum, arrested for alleged mafia activity, including the 44 arrests made in Lazio, Abruzzo and Sicily on 4 June.
Renzi intervenes in Rome Mafia case|08/06/2015|Junior government minister under investigation over alleged Mafia links.Italian premier Matteo Renzi has intervened following an investigation into a junior government minister as part of the burgeoning case involving an alleged mafia syndicate operating in Rome and elsewhere in Italy.Renzi said he will not request the resignation of the government’s agriculture undersecretary Giuseppe Castiglione, of the Nuovo Centro Destra (NCD) party, who is under investigation in relation to suspected bid-rigging of contracts for a large migrant centre in his native Sicily. Castiglione, along with six others in Catania, is suspected of manipulating the bidding process to ensure a particular cooperative was successful in winning the contract to manage the Cara di Mineo complex in 2011.  The investigation is an offshoot of the so-called Mafia Capitale case which centres mainly on the embezzlement of funds destined for emergency housing for immigrants and camps for Roma people, but also includes other sectors such as waste management, recycling and parks maintenance.Referring to his own father who is currently being probed for alleged fraudulent bankruptcy in an unrelated case, Renzi says there is no reason for Castiglione, or any other suspect, to resign just because they are under investigation. However he added that if convicted “they must remain in jail until the last day” and “leave public office for good.”Since December the case has seen dozens of politicians, public officials and business people arrested for alleged mafia activity, including the 44 arrests made in Lazio, Abruzzo and Sicily on 4 June. They are also many under investigation, but who have not been arrested to date, including Gianni Alemanno who was mayor of Rome from 2008 to 2013 and is currently standing down from his rightwing party, Fratelli d’Italia (FdI). Renzi has also defended the reputations of incumbent Lazio governor Nicola Zingaretti and Rome mayor Ignazio Marino, both of whom are fellow members of the premier’s centre-left Partita Democratica (PD) party, neither of whom is under investigation.Renzi said that the present mayor could not be held responsible for a corrupt system which was already well-established by the time Marino took office two years ago. Marino himself has dismissed calls for his resignation, saying “that is what the Mafia would like”, and that under his administration “their criminal plans have failed.”Italy’s foreign minister Paolo Gentiloni (PD) has also weighed in behind the mayor, saying that he must remain in office despite the deepening investigation, adding: “The problem is not Marino.” Police say the central figures in the Mafia Capitale case remain the notorious Roman underworld figure and alleged leader of the capital’s mafia, Massimo Carminati, and his right-hand man Salvatore Buzzi, both of whom were arrested last December along with dozens of other suspects.In early 2013 Buzzi was caught on a wire-tap boasting that the criminals made €40 million a year creaming off funds for immigrants and Roma camps, a racket “more profitable than drug trafficking.”
More arrests in Rome mafia case|04/06/2015|Second wave of arrests in so-called Mafia Capitale investigation.Italian police have made 44 arrests in Lazio, Abruzzo and Sicily, in the second part of the ongoing case involving an alleged mafia syndicate operating in Rome.Police say there are still 21 suspects at large connected to the so-called Mafia Capitale case which centres mainly on the embezzlement of funds destined for emergency housing for immigrants and camps for Roma people, but also includes other sectors such as waste management, recycling and parks maintenance. The 44 suspects arrested in the dawn raid come from both sides of the political spectrum and include regional councillor Luca Gramazio of the Lazio branch of the Forza Italia (FI) party; the former head of Rome city council Mirko Coratti of the centre-left Partita Democratica (PD); Rome’s former housing councillor Daniele Ozzimo (PD); and vice-president of Rome city council Giordano Tredicine (FI), a member of the powerful Tredicine family which has a virtual monopoly of the mobile sandwich bars around Rome.  The police investigation involves allegations of bribery, false invoicing and bid-rigging for public contracts between mafia-style criminals and public officials, business people and politicians, the most prominent of whom is Gianni Alemanno who was mayor of Rome from 2008 to 2013. Police say the central figures in the Mafia Capitale case remain the notorious Roman underworld figure and alleged leader of the capital’s mafia, Massimo Carminati, and his right-hand man Salvatore Buzzi, both of whom were arrested last December along with dozens of other suspects.A former member of the Nuclei Armati Rivluzionari (NAR) neofascist terrorist group as well as the former Banda della Magliana crime gang, Carminati lost an eye in a police shoot-out three decades ago and inspired the “Nero” character from the book Romanzo Criminale.In early 2013 Buzzi was caught on wire-tap boasting that the criminals made €40 million a year creaming off funds for immigrants and Roma camps, a racket “more profitable than drug trafficking.”
Guard dogs at Rome’s busiest metro stations|24/02/2015|ATAC increases security at Spagna, Colosseo and TerminiFrom 25 February security personnel at three of Rome’s busiest metro stations will be accompanied by guard dogs, as part of increased security measures by the capital’s public transport provider ATAC.The ten canine units will be on duty at Spagna, Colosseo and Termini, each day from 10.00-20.00.ATAC says the use of guard dogs is designed to act as a crime deterrent and it plans to extend the service to other metro stations in the future.Ph. La Repubblica, Il Messaggero
Dutch football hooligans wreak havoc in Rome|19/02/2015|Rioting Feyenoord fans vandalise 17th-century fountainFans of Dutch football team Feyenoord rioted in Rome’s Piazza di Spagna during the late afternoon on 19 February, ahead of a Europa League match against AS Roma which ended in a 1-1 draw.During the clashes the rioting hooligans smashed glass bottles against the 17th-century Barcaccia fountain, damaging the central part of the baroque monument which was unveiled in September following a year-long restoration.The chipped fragments of the fountain, which is accredited to Pietro Bernini with the possible contribution of his famous son Gian Lorenzo, were visible in the waters along with bobbing glass bottles and rubbish dumped by the hooligans.13 police were injured after the drunken Feyenoord fans pelted them with bottles and flares, leaving the entire Piazza di Spagna littered with broken glass and debris. A running battle ensued after police engaged in baton charges to move the Dutch fans towards Villa Borghese.Once they reached the park, the hooligans vandalised 15 city buses acquisitioned by the police to take them to the Olympic stadium which opened three hours early, before kick-off at 19.00. Bus provider ATAC said later that the buses were damaged so badly that they are now unusable for public transport.Despite the closure of bars and a temporary alcohol ban in place in the city centre, the Feyenoord fans still managed to get their hands on booze. Criticising the loss in trade to the city, Italian business association Confesercenti claimed the ban was being defied openly by “illegal vendors selling beer bottles around the crowds of fans, but no one says anything.”There were up to 7,000 Feyenoord fans in Rome for the game and many of them were already involved in unruly behaviour in Campo de’ Fiori on the night of 18 February. Throughout the next day they caused mayhem in the centre, vandalising property and vehicles, intimidating shopkeepers, urinating against apartment doors and jumping on cars.Police arrested 28 fans on charges of resistance, damage and violence, with an Italian court handing down fines of €45,000 each to several defendants, while others received jail terms of between eight and 16 months. They were among the 600 Feyenoord fans escorted to Fiumicino airport to board chartered planes back to Holland. Following the game, police escorted the Dutch fans en masse from the stadium in the Flaminio district to Termini station.Italian premier Matteo Renzi referred to the football hooligans as “barbarians” who were “full of beer”, saying that their behaviour was “a total insult to civility.” The prime minister said that he is awaiting an apology from Feyenoord, adding that the hooligans would be punished with “much severity and harshness.”The capital’s “furious” mayor Ignazio Marino tweeted: “Rome devastated and wounded. In contact with the prefect, police chief and Dutch ambassador. It won’t end here”. The mayor said he is ordering an investigation into why the Barcaccia fountain was not guarded by police, while Rome’s cultural heritage superintendent Claudio Parisi Presicce said the city would sue for damages once the culprits were identified. Marino also said he told Rome’s Dutch embassy: “Chi rompe paga” (Whoever breaks, pays).The Dutch embassy agreed that the damage to the historic fountain was a “disgrace” even though “only a few chips came off.” In a statement agreed with the foreign ministry of the Netherlands, the embassy said that Italian authorities “can count on the complete collaboration and commitment of the Netherlands to see the culprits are punished.”Andy Devane
Schettino gets 16 years for Concordia disaster|11/02/2015|Former captain guilty of multiple manslaughterThe former captain of the Italian cruise ship Costa Concordia has been found guilty of manslaughter and was sentenced to 16 years in prison by a court in Grosseto on 11 February.Francesco Schettino was convicted on charges of multiple manslaughter, causing a shipwreck, abandoning ship and abandoning the incapable, for his role in the fatal shipwreck on 13 January 2012 off the Tuscan island of Giglio, which resulted in the deaths of 32 people.The court’s verdict was reached after a 19-month-long trial in which investigators blamed Schettino for the 32 fatalities after he brought the 292m-long luxury cruise liner too close to shore, in an apparent act of bravado, running the vessel aground on rocks.The chaotic evacuation that ensued saw Schettino abandon the ship before all his 4,200 passengers and crew members were evacuated, in what is Italy’s worst post-war maritime disaster.Prosecutors had requested Schettino be jailed for 26 years but in the end the three-judge panel sentenced him to 16 years and one month, although for the moment he is free. The court rejected a prosecution request for Schettino’s arrest, saying there was no evidence to suggest he would seek to flee Italian justice. The judges ruled instead that Schettino would not go to prison until the appeals process is completed, which can take years.Schettino and his former employers Costa Criuses were also jointly ordered to pay a total of €30,000 each in compensation to many of the ship’s passengers as well as millions of euro in damages to Italian government ministries, Tuscany’s regional government and Giglio.The 114,500-ton ship wreck was the subject of a complex and unprecedented salvage operation, during which a Spanish diver lost his life, before it was successfully towed away from Giglio and taken to Genoa for dismantling last July.Photo Telegraph
Rome mayor backs red light zone in EUR|08/02/2015|Controversial plan will see prostitution tolerated in non-residential area of EURRome’s mayor Ignazio Marino and his administration have approved plans for a red light zone in a non-residential area of the capital’s southern EUR district.The so-called “zoning” pilot project will tolerate prostitution in a still-unidentified red light area in EUR, beginning in April, in a bid to counter exploitation by pimps and traffickers and promote safer sex.Police will clamp down on the illegal trade on the other 20 or so red-light streets in the neighbourhood, imposing €500 fines on prostitutes caught working outside the permitted area, which will be supervised by health and social authorities.The plan, which will cost the city €5,000 a month, will see authorities effectively turn a blind eye to the criminal aspect of the business in the tolerated area, while operating a “zero tolerance” policy against prostitution in the rest of EUR.Marino says he wishes to “strike a balance” by tolerating prostitution in certain areas while keeping it away from “public parks where families go.”Police chiefs are reportedly sceptical about the success of the project which has met fierce opposition from the Catholic Church, from the centre-right opposition on Rome’s city council, and even from members of Marino’s own Partito Democratico (PD).
Rome unveils record seizure of looted antiquities|21/01/2015|Italian police display recovered stolen treasuresItalian art police unveiled their largest-ever single seizure of looted antiquities, comprising more than 5,000 archaeological items, during a press conference at Rome’s Terme di Diocleziano museum on 21 January.The recovered booty includes ancient Greek statues, amphorae, frescoes and vases, all illegally looted from southern Italy. Estimating the seizure’s total value at about €50 million, police say it was by far their “largest recovery in history in terms of the quantity and quality of the archaeological treasures.”The works, which date from the eighth century BC to the third century, were discovered during raids on Swiss warehouses belonging to Sicilian former art dealer Gianfranco Becchina, as part of a police investigation.Prosecutors accuse the Basel-based Becchina and his wife of belonging to a sophisticated antiquities trafficking ring involving tomb raiders in southern Italy and international dealers. Becchina protests his innocence and points out that he has never been convicted of such an offence.Police say the looted works were sent to Switzerland for restoration before being sold around the world using forged provenance papers, meaning in theory that museums and collectors could buy the artefacts in good faith.The most valuable piece recovered was a sixth-century BC Corinthian amphora showing the mythical hero Theseus who killed the minotaur, according to Greek legend. Italy’s ministry for cultural heritage believes the masterpiece was probably stolen from an Etruscan necropolis.The works are expected to go on public display in Rome before being sent to various museums in southern Italy.
Pepper spray for Rome police|18/01/2015|Six-month training and trial period begins January Italy’s interior ministry has issued Rome police with pepper spray as part of a six-month trial, with 650 officers in the capital beginning training courses in its use on 18 January.A ministry circular states that the device should be sprayed only in exceptional circumstances when police face “active resistance, threats or violence”, after all attempts of negotiation or mediation have failed.Two different types of spray will be tested, one for the first three months and the other for the second three-month trial.480 police in Naples will also be trained to use pepper spray under the same conditions as those set for the Rome police. Photo Corriere della Sera
Rome mafia exploited immigrants and gypsies|03/12/2014|Racket earned Rome mafia “more money than drug trafficking” Judicial documents have revealed that funding destined for immigrants and members of the Roma community was the main source of income for the alleged mafia syndicate operating in Rome, according to Italian news agency ANSA.There are currently about 100 politicians, public officials and business people under police investigation for alleged mafia activity, including Gianni Alemanno who was mayor of Rome from 2008 to 2013.Among the 37 arrests on 3 December is notorious Roman underworld figure Massimo Carminati, the alleged leader of the capital’s mafia which – according to prosecutors – operated independently of other mafia associations in southern Italy, such as the Camorra or Cosa Nostra.A former member of the Nuclei Armati Rivluzionari (NAR) neofascist terrorist group as well as the former Banda della Magliana crime gang, Carminati lost an eye in a police shoot-out three decades ago and inspired the “Nero” character from the book Romanzo Criminale.Also arrested was Carminati’s right-hand man Salvatore Buzzi who was caught on wire-tap in early 2013 boasting about how much money the mafia creamed off funds for emergency housing for immigrants and camps for Roma people. Buzzi was recorded saying that the criminals made €40 million a year from the immigrant funds, a racket “more profitable than drug trafficking.”The other sectors the Rome mafia infiltrated allegedly include waste management, recycling and parks maintenance.  In the wiretap Buzzi is also heard saying that the mafia must try and get Alemanno’s successor Ignazio Marino onside, although he conceded it wouldn’t be easy, saying: “Nobody trusts Marino.”The so-called Mafia Capitale scandal has been condemned by Italian premier Matteo Renzi, who said he was “shocked and angry”, but noted that the case involved politicians from all sides. He has now put the Rome branch of his party under the administration of a specially appointed commissioner, Matteo Orfini.The corrupt practices in relation to the targeting of refugees and Roma people was also condemned by the United Nations refugee agency (UNHCR).Photo Il Messaggero
Growing incidents of knockout attacks in Rome|20/11/2014|Some victims being assaulted with knuckle dustersPolice in Rome are reporting growing cases of the violent phenomenon known as “knockout”, whereby unsuspecting passers-by are punched in the face with the aim of knocking them unconscious.This so-called “game”, imported from America earlier this year, normally involves the attackers’ friends filming their exploits to upload on social media. The attacks happen both during the day and night and the attackers make no distinction between age or gender – usually fleeing the scene without stealing anything.Earlier in November an 80-year-old man was knocked out in the Vescovio area of Rome, near Villa Ada, leaving the pensioner with a fractured eye-socket, while in recent days another man was also knocked unconscious in the Centocelle district in east Rome. Neither victim was robbed.However in recent months the violent trend – first reported in Trastevere in February – has spread to other parts of Rome where a growing number of victims are robbed after being assaulted.Police in Quarticciolo in east Rome have reported an even more violent version of knockout whereby the attackers use brass knuckles or “knuckle dusters” to overpower their victims before robbing them. Police say this is an organised operation, comprising a man and a woman, and that there have been at least six such cases since the start of October.The police are currently studying CCTV footage in the area as part of their investigation into the crimes.
Anti-crime barriers for Rome’s Termini station|30/07/2014|Measures to protect tourists from pickpockets and fake portersRome’s Termini station is to install barriers at the beginning of platforms to allow access only to passengers with tickets. The measures are designed as protection against criminals masquerading as baggage porters.The move was announced by Rome mayor Ignazio Marino on 30 July following a meeting with security chiefs at the capital’s principal train station. Marino said the system will be a return to the “barriers that were there until the late 1970s, early 1980s. In this way, only those with tickets can access the trains.”Similar security measures are already in place at the S. Maria Novella station in Florence, installed for the same reasons.Rome’s police chief Giuseppe Pecoraro said that the numbers of police on duty in and around Termini will be increased, along with an advertising campaign warning tourists to be on their guard while passing through the station.Over the last year there have also been reports of criminals dressed in suits boarding first-class carriages at Termini and removing luggage just before the train departs.  The security upgrade follows the recent report in the Rome daily Il Messaggero outlining the fake ticket controllers at Flaminio metro station. Dressed in red uniforms, they provide tourists with information in English before requesting tips.The newspaper also published a photo showing a group of gypsies stationed at Termini’s electronic ticket machines where they “help” tourists before demanding money. The image went viral on social media sites in Rome and led to calls for a clampdown on illegal activity at the station.Another newspaper, La Repubblica, recently quoted a representative from the Lazio branch of police trade union ANIP Italia Sicura who said that over 100 pickpockets are arrested each day at Termini despite the fact that less than half of the station’s security cameras actually work.Photos: Il Messaggero
